"country","year","age_group","occupation","earn_F","earn_M","gender_pay_gap","panel_id","young","senior","high_skill","managerial","year_2014","year_2018","year_2022"
"AL",2018,"Young","Professionals",235508.666666667,276995.666666667,14.977490622597,"AL_Young_Professionals",1,0,1,0,0,1,0
"AL",2018,"Young","Service",136379.666666667,134982.666666667,-1.03494769698828,"AL_Young_Service",1,0,0,0,0,1,0
"AL",2018,"Young","Technicians",214151.666666667,239882,10.7262459598191,"AL_Young_Technicians",1,0,0,0,0,1,0
"AL",2022,"Mid Career","Agriculture",162982.333333333,171141.333333333,4.76740471812771,"AL_Mid Career_Agriculture",0,0,0,0,0,0,1
"AL",2022,"Mid Career","Clerical",303648.666666667,303304.666666667,-0.113417311965746,"AL_Mid Career_Clerical",0,0,0,0,0,0,1
"AL",2022,"Mid Career","Craft",174975,200266.333333333,12.6288492490833,"AL_Mid Career_Craft",0,0,0,0,0,0,1
"AL",2022,"Mid Career","Elementary",170089,183947.333333333,7.53385932930077,"AL_Mid Career_Elementary",0,0,0,0,0,0,1
"AL",2022,"Mid Career","Managers",693736.333333333,651952.166666667,-6.40908471557088,"AL_Mid Career_Managers",0,0,1,1,0,0,1
"AL",2022,"Mid Career","Operators",184374,211964,13.0163612688947,"AL_Mid Career_Operators",0,0,0,0,0,0,1
"AL",2022,"Mid Career","Professionals",337590,404086.166666667,16.4559374093892,"AL_Mid Career_Professionals",0,0,1,0,0,0,1
"AL",2022,"Mid Career","Service",193050.5,212644,9.21422659468407,"AL_Mid Career_Service",0,0,0,0,0,0,1
"AL",2022,"Mid Career","Technicians",313115,373569,16.1828203089657,"AL_Mid Career_Technicians",0,0,0,0,0,0,1
"AL",2022,"Senior","Agriculture",163751.666666667,171831.666666667,4.7022764527299,"AL_Senior_Agriculture",0,1,0,0,0,0,1
"AL",2022,"Senior","Clerical",249589.333333333,227351.666666667,-9.78117600486762,"AL_Senior_Clerical",0,1,0,0,0,0,1
"AL",2022,"Senior","Craft",171073.333333333,200330,14.6042363433668,"AL_Senior_Craft",0,1,0,0,0,0,1
"AL",2022,"Senior","Elementary",170797.333333333,170808.333333333,0.00643996682441333,"AL_Senior_Elementary",0,1,0,0,0,0,1
"AL",2022,"Senior","Managers",716368.333333333,671868.166666667,-6.62334798319807,"AL_Senior_Managers",0,1,1,1,0,0,1
"AL",2022,"Senior","Operators",172714.333333333,205960.5,16.1420110490442,"AL_Senior_Operators",0,1,0,0,0,0,1
"AL",2022,"Senior","Professionals",310597,374388.333333333,17.0388144217457,"AL_Senior_Professionals",0,1,1,0,0,0,1
"AL",2022,"Senior","Service",188330.333333333,199466.333333333,5.58289703024236,"AL_Senior_Service",0,1,0,0,0,0,1
"AL",2022,"Senior","Technicians",272067.333333333,323094.666666667,15.7933072247143,"AL_Senior_Technicians",0,1,0,0,0,0,1
"AL",2022,"Young","Clerical",272285.666666667,267514.166666667,-1.78364385686737,"AL_Young_Clerical",1,0,0,0,0,0,1
"AL",2022,"Young","Craft",168600.333333333,196047.333333333,14.0001904302022,"AL_Young_Craft",1,0,0,0,0,0,1
"AL",2022,"Young","Elementary",170904.666666667,179708,4.8986875004637,"AL_Young_Elementary",1,0,0,0,0,0,1
"AL",2022,"Young","Managers",371407,362804.333333333,-2.37115874213188,"AL_Young_Managers",1,0,1,1,0,0,1
"AL",2022,"Young","Operators",178360,203385.666666667,12.3045380123477,"AL_Young_Operators",1,0,0,0,0,0,1
"AL",2022,"Young","Professionals",299478,359552.333333333,16.7080916361735,"AL_Young_Professionals",1,0,1,0,0,0,1
"AL",2022,"Young","Service",202577.333333333,202389.5,-0.0928078449392453,"AL_Young_Service",1,0,0,0,0,0,1
"AL",2022,"Young","Technicians",296932.666666667,323169,8.11845608128669,"AL_Young_Technicians",1,0,0,0,0,0,1
"AT",2010,"Young","Clerical",24502.5,26699,8.22689988389078,"AT_Young_Clerical",1,0,0,0,0,0,0
"AT",2010,"Young","Craft",17890.5,23473.5,23.7842673653269,"AT_Young_Craft",1,0,0,0,0,0,0
"AT",2010,"Young","Elementary",20509,24212.5,15.295818275684,"AT_Young_Elementary",1,0,0,0,0,0,0
"AT",2010,"Young","Managers",39906,42768,6.69191919191919,"AT_Young_Managers",1,0,1,1,0,0,0
"AT",2010,"Young","Operators",24953,30600.5,18.4555807911635,"AT_Young_Operators",1,0,0,0,0,0,0
"AT",2010,"Young","Professionals",34976.5,37627.5,7.04537904458175,"AT_Young_Professionals",1,0,1,0,0,0,0
"AT",2010,"Young","Service",19518.5,21475,9.11059371362049,"AT_Young_Service",1,0,0,0,0,0,0
"AT",2010,"Young","Technicians",28930,33051,12.46860911924,"AT_Young_Technicians",1,0,0,0,0,0,0
"AT",2014,"Young","Clerical",27295.6666666667,28879.3333333333,5.48373692836861,"AT_Young_Clerical",1,0,0,0,1,0,0
"AT",2014,"Young","Craft",21379,28136,24.0154961615013,"AT_Young_Craft",1,0,0,0,1,0,0
"AT",2014,"Young","Elementary",22989,27710,17.0371706964995,"AT_Young_Elementary",1,0,0,0,1,0,0
"AT",2014,"Young","Managers",38423,48238,20.3470293129898,"AT_Young_Managers",1,0,1,1,1,0,0
"AT",2014,"Young","Operators",28651.3333333333,34586.6666666667,17.1607555898227,"AT_Young_Operators",1,0,0,0,1,0,0
"AT",2014,"Young","Professionals",37256,40093,7.07604818796299,"AT_Young_Professionals",1,0,1,0,1,0,0
"AT",2014,"Young","Service",22665,23810.6666666667,4.81156904468586,"AT_Young_Service",1,0,0,0,1,0,0
"AT",2014,"Young","Technicians",31205.6666666667,34765.3333333333,10.2391270997929,"AT_Young_Technicians",1,0,0,0,1,0,0
"AT",2018,"Mid Career","Clerical",38901.6666666667,46179.3333333333,15.7595749902554,"AT_Mid Career_Clerical",0,0,0,0,0,1,0
"AT",2018,"Mid Career","Craft",31457,41814,24.76921605204,"AT_Mid Career_Craft",0,0,0,0,0,1,0
"AT",2018,"Mid Career","Elementary",24777,31342.3333333333,20.9471747476789,"AT_Mid Career_Elementary",0,0,0,0,0,1,0
"AT",2018,"Mid Career","Managers",71715.6666666667,96156.6666666667,25.4178944084307,"AT_Mid Career_Managers",0,0,1,1,0,1,0
"AT",2018,"Mid Career","Operators",30276.6666666667,38578.6666666667,21.5196654454966,"AT_Mid Career_Operators",0,0,0,0,0,1,0
"AT",2018,"Mid Career","Professionals",55525,66664.3333333333,16.7095848354692,"AT_Mid Career_Professionals",0,0,1,0,0,1,0
"AT",2018,"Mid Career","Service",30035.3333333333,36345,17.3604805796304,"AT_Mid Career_Service",0,0,0,0,0,1,0
"AT",2018,"Mid Career","Technicians",44053,55922.3333333333,21.2246746976461,"AT_Mid Career_Technicians",0,0,0,0,0,1,0
"AT",2018,"Senior","Clerical",47020.3333333333,59745,21.2982955337964,"AT_Senior_Clerical",0,1,0,0,0,1,0
"AT",2018,"Senior","Craft",32723,45796.6666666667,28.5472013974816,"AT_Senior_Craft",0,1,0,0,0,1,0
"AT",2018,"Senior","Elementary",26170.3333333333,34104,23.2631558370475,"AT_Senior_Elementary",0,1,0,0,0,1,0
"AT",2018,"Senior","Managers",89793,132922.333333333,32.4470179327778,"AT_Senior_Managers",0,1,1,1,0,1,0
"AT",2018,"Senior","Operators",30401.6666666667,42069.6666666667,27.7349475869391,"AT_Senior_Operators",0,1,0,0,0,1,0
"AT",2018,"Senior","Professionals",67939,89075.6666666667,23.7288896705797,"AT_Senior_Professionals",0,1,1,0,0,1,0
"AT",2018,"Senior","Service",32753,43126.3333333333,24.0533626013495,"AT_Senior_Service",0,1,0,0,0,1,0
"AT",2018,"Senior","Technicians",52302.3333333333,70154,25.4463988748563,"AT_Senior_Technicians",0,1,0,0,0,1,0
"AT",2018,"Young","Clerical",29011.3333333333,30508,4.90581705345047,"AT_Young_Clerical",1,0,0,0,0,1,0
"AT",2018,"Young","Craft",23920.6666666667,30187,20.7583838517684,"AT_Young_Craft",1,0,0,0,0,1,0
"AT",2018,"Young","Elementary",24660.3333333333,30696,19.6627139258101,"AT_Young_Elementary",1,0,0,0,0,1,0
"AT",2018,"Young","Managers",42914.3333333333,50614.6666666667,15.2136403150602,"AT_Young_Managers",1,0,1,1,0,1,0
"AT",2018,"Young","Operators",31817.6666666667,35990.3333333333,11.5938539052153,"AT_Young_Operators",1,0,0,0,0,1,0
"AT",2018,"Young","Professionals",39766.6666666667,42929.6666666667,7.36786526799649,"AT_Young_Professionals",1,0,1,0,0,1,0
"AT",2018,"Young","Service",24276.3333333333,26566.6666666667,8.6210790464241,"AT_Young_Service",1,0,0,0,0,1,0
"AT",2018,"Young","Technicians",33044,36788,10.1772317059911,"AT_Young_Technicians",1,0,0,0,0,1,0
"AT",2022,"Mid Career","Clerical",43478.3333333333,47933,9.29352777140313,"AT_Mid Career_Clerical",0,0,0,0,0,0,1
"AT",2022,"Mid Career","Craft",38989.3333333333,45786,14.8444211476579,"AT_Mid Career_Craft",0,0,0,0,0,0,1
"AT",2022,"Mid Career","Elementary",27656,34500,19.8376811594203,"AT_Mid Career_Elementary",0,0,0,0,0,0,1
"AT",2022,"Mid Career","Managers",82786,106470.333333333,22.2450072164077,"AT_Mid Career_Managers",0,0,1,1,0,0,1
"AT",2022,"Mid Career","Operators",33912.3333333333,43037,21.2019115334867,"AT_Mid Career_Operators",0,0,0,0,0,0,1
"AT",2022,"Mid Career","Professionals",60189.6666666667,72453.6666666667,16.9266795791333,"AT_Mid Career_Professionals",0,0,1,0,0,0,1
"AT",2022,"Mid Career","Service",33952.6666666667,39429.6666666667,13.8905561802027,"AT_Mid Career_Service",0,0,0,0,0,0,1
"AT",2022,"Mid Career","Technicians",49388.3333333333,60881.3333333333,18.8777074527496,"AT_Mid Career_Technicians",0,0,0,0,0,0,1
"AT",2022,"Senior","Clerical",54694.3333333333,60868.6666666667,10.143697359342,"AT_Senior_Clerical",0,1,0,0,0,0,1
"AT",2022,"Senior","Craft",36554.6666666667,49135.6666666667,25.604618505227,"AT_Senior_Craft",0,1,0,0,0,0,1
"AT",2022,"Senior","Elementary",29501.3333333333,35737.3333333333,17.4495392306831,"AT_Senior_Elementary",0,1,0,0,0,0,1
"AT",2022,"Senior","Managers",86938,140144.666666667,37.9655308562105,"AT_Senior_Managers",0,1,1,1,0,0,1
"AT",2022,"Senior","Operators",35963.6666666667,44661.6666666667,19.4753144008658,"AT_Senior_Operators",0,1,0,0,0,0,1
"AT",2022,"Senior","Professionals",72978.6666666667,93261.6666666667,21.7484854441803,"AT_Senior_Professionals",0,1,1,0,0,0,1
"AT",2022,"Senior","Service",37624,42803,12.0996191855711,"AT_Senior_Service",0,1,0,0,0,0,1
"AT",2022,"Senior","Technicians",59683.6666666667,74116,19.4726284922734,"AT_Senior_Technicians",0,1,0,0,0,0,1
"AT",2022,"Young","Clerical",33579,35161.3333333333,4.50020856243602,"AT_Young_Clerical",1,0,0,0,0,0,1
"AT",2022,"Young","Craft",27211.6666666667,33824,19.5492352570167,"AT_Young_Craft",1,0,0,0,0,0,1
"AT",2022,"Young","Elementary",28628.3333333333,32484.3333333333,11.8703374960237,"AT_Young_Elementary",1,0,0,0,0,0,1
"AT",2022,"Young","Managers",49861,58639.3333333333,14.9700428608784,"AT_Young_Managers",1,0,1,1,0,0,1
"AT",2022,"Young","Operators",37468,40923,8.44268504264106,"AT_Young_Operators",1,0,0,0,0,0,1
"AT",2022,"Young","Professionals",43837,48687.6666666667,9.96282426076419,"AT_Young_Professionals",1,0,1,0,0,0,1
"AT",2022,"Young","Service",28064.6666666667,30043.6666666667,6.58707880751351,"AT_Young_Service",1,0,0,0,0,0,1
"AT",2022,"Young","Technicians",36854.3333333333,41827,11.8886524653135,"AT_Young_Technicians",1,0,0,0,0,0,1
"BA",2022,"Mid Career","Clerical",17294.6666666667,19050,9.21434820647418,"BA_Mid Career_Clerical",0,0,0,0,0,0,1
"BA",2022,"Mid Career","Craft",10613.3333333333,16065,33.9350555036829,"BA_Mid Career_Craft",0,0,0,0,0,0,1
"BA",2022,"Mid Career","Elementary",12085,13789.6666666667,12.3619135101163,"BA_Mid Career_Elementary",0,0,0,0,0,0,1
"BA",2022,"Mid Career","Managers",29468.3333333333,29865.6666666667,1.33040168755651,"BA_Mid Career_Managers",0,0,1,1,0,0,1
"BA",2022,"Mid Career","Operators",12057,15310.3333333333,21.2492652021511,"BA_Mid Career_Operators",0,0,0,0,0,0,1
"BA",2022,"Mid Career","Professionals",26424.3333333333,29750,11.1787114845938,"BA_Mid Career_Professionals",0,0,1,0,0,0,1
"BA",2022,"Mid Career","Service",12753.6666666667,14091.6666666667,9.4949733885275,"BA_Mid Career_Service",0,0,0,0,0,0,1
"BA",2022,"Mid Career","Technicians",19457.3333333333,21300,8.6510172143975,"BA_Mid Career_Technicians",0,0,0,0,0,0,1
"BA",2022,"Senior","Clerical",19270,19750.6666666667,2.43367312495781,"BA_Senior_Clerical",0,1,0,0,0,0,1
"BA",2022,"Senior","Craft",10769.3333333333,16463,34.5846241065824,"BA_Senior_Craft",0,1,0,0,0,0,1
"BA",2022,"Senior","Elementary",12620.3333333333,14119,10.6145383289657,"BA_Senior_Elementary",0,1,0,0,0,0,1
"BA",2022,"Senior","Managers",33390.3333333333,30787.6666666667,-8.45360155040439,"BA_Senior_Managers",0,1,1,1,0,0,1
"BA",2022,"Senior","Operators",11888.3333333333,16036.6666666667,25.8678029515693,"BA_Senior_Operators",0,1,0,0,0,0,1
"BA",2022,"Senior","Professionals",29502,32782.3333333333,10.006405889351,"BA_Senior_Professionals",0,1,1,0,0,0,1
"BA",2022,"Senior","Service",13012.6666666667,14372.6666666667,9.46240549190593,"BA_Senior_Service",0,1,0,0,0,0,1
"BA",2022,"Senior","Technicians",20602.3333333333,23770.6666666667,13.3287525241194,"BA_Senior_Technicians",0,1,0,0,0,0,1
"BA",2022,"Young","Clerical",13184,15486,14.8650393904172,"BA_Young_Clerical",1,0,0,0,0,0,1
"BA",2022,"Young","Craft",10143.3333333333,14681.6666666667,30.9115677148371,"BA_Young_Craft",1,0,0,0,0,0,1
"BA",2022,"Young","Elementary",11911,13071,8.87460791064188,"BA_Young_Elementary",1,0,0,0,0,0,1
"BA",2022,"Young","Managers",16395.3333333333,17536.3333333333,6.50649128476116,"BA_Young_Managers",1,0,1,1,0,0,1
"BA",2022,"Young","Operators",12060.3333333333,14158.6666666667,14.8201337225727,"BA_Young_Operators",1,0,0,0,0,0,1
"BA",2022,"Young","Professionals",21264,23357.6666666667,8.96350948296777,"BA_Young_Professionals",1,0,1,0,0,0,1
"BA",2022,"Young","Service",11976,12715.3333333333,5.81450217585068,"BA_Young_Service",1,0,0,0,0,0,1
"BA",2022,"Young","Technicians",16889,16606,-1.70420330001204,"BA_Young_Technicians",1,0,0,0,0,0,1
"BE",2010,"Young","Clerical",30722.5,30729,0.0211526570991571,"BE_Young_Clerical",1,0,0,0,0,0,0
"BE",2010,"Young","Craft",28392,31186.5,8.9606079553653,"BE_Young_Craft",1,0,0,0,0,0,0
"BE",2010,"Young","Elementary",23967,28884,17.0232654756959,"BE_Young_Elementary",1,0,0,0,0,0,0
"BE",2010,"Young","Managers",48211.5,50620,4.7580007902015,"BE_Young_Managers",1,0,1,1,0,0,0
"BE",2010,"Young","Operators",29872,32943.5,9.32353878610348,"BE_Young_Operators",1,0,0,0,0,0,0
"BE",2010,"Young","Professionals",35599,39321.5,9.46683112292257,"BE_Young_Professionals",1,0,1,0,0,0,0
"BE",2010,"Young","Service",26932,28736,6.27783964365256,"BE_Young_Service",1,0,0,0,0,0,0
"BE",2010,"Young","Technicians",33340,34525,3.43229543808834,"BE_Young_Technicians",1,0,0,0,0,0,0
"BE",2014,"Young","Clerical",31460,31452.3333333333,-0.0243755100310561,"BE_Young_Clerical",1,0,0,0,1,0,0
"BE",2014,"Young","Craft",28821.3333333333,32066.3333333333,10.1196478133868,"BE_Young_Craft",1,0,0,0,1,0,0
"BE",2014,"Young","Elementary",28397,29199,2.74666940648652,"BE_Young_Elementary",1,0,0,0,1,0,0
"BE",2014,"Young","Managers",45013.6666666667,50069.3333333333,10.0973317000426,"BE_Young_Managers",1,0,1,1,1,0,0
"BE",2014,"Young","Operators",30596.6666666667,31561,3.05545874127351,"BE_Young_Operators",1,0,0,0,1,0,0
"BE",2014,"Young","Professionals",39162,43619,10.218024255485,"BE_Young_Professionals",1,0,1,0,1,0,0
"BE",2014,"Young","Service",28590.6666666667,28728.6666666667,0.480356438400668,"BE_Young_Service",1,0,0,0,1,0,0
"BE",2014,"Young","Technicians",31356,33399,6.11694960926974,"BE_Young_Technicians",1,0,0,0,1,0,0
"BE",2018,"Mid Career","Clerical",36916.6666666667,37313.6666666667,1.06395333255912,"BE_Mid Career_Clerical",0,0,0,0,0,1,0
"BE",2018,"Mid Career","Craft",36212,39363.6666666667,8.00653733138003,"BE_Mid Career_Craft",0,0,0,0,0,1,0
"BE",2018,"Mid Career","Elementary",27210,28949.3333333333,6.00819823139277,"BE_Mid Career_Elementary",0,0,0,0,0,1,0
"BE",2018,"Mid Career","Managers",72234.6666666667,82361.6666666667,12.295768662606,"BE_Mid Career_Managers",0,0,1,1,0,1,0
"BE",2018,"Mid Career","Operators",34527,38853.6666666667,11.135800138983,"BE_Mid Career_Operators",0,0,0,0,0,1,0
"BE",2018,"Mid Career","Professionals",56568,64162,11.8356659705121,"BE_Mid Career_Professionals",0,0,1,0,0,1,0
"BE",2018,"Mid Career","Service",31508.3333333333,33056,4.68195385608261,"BE_Mid Career_Service",0,0,0,0,0,1,0
"BE",2018,"Mid Career","Technicians",46339.6666666667,48756.3333333333,4.95662102017517,"BE_Mid Career_Technicians",0,0,0,0,0,1,0
"BE",2018,"Senior","Clerical",43685,45746.3333333333,4.50600776747135,"BE_Senior_Clerical",0,1,0,0,0,1,0
"BE",2018,"Senior","Craft",42140,46139,8.6672879776328,"BE_Senior_Craft",0,1,0,0,0,1,0
"BE",2018,"Senior","Elementary",31064,34968,11.1644932509723,"BE_Senior_Elementary",0,1,0,0,0,1,0
"BE",2018,"Senior","Managers",101483.666666667,98448.6666666667,-3.08282489012887,"BE_Senior_Managers",0,1,1,1,0,1,0
"BE",2018,"Senior","Operators",40278.6666666667,48279,16.5710419298936,"BE_Senior_Operators",0,1,0,0,0,1,0
"BE",2018,"Senior","Professionals",66127,74770.3333333333,11.5598432533402,"BE_Senior_Professionals",0,1,1,0,0,1,0
"BE",2018,"Senior","Service",36681.3333333333,38480.3333333333,4.67511542692804,"BE_Senior_Service",0,1,0,0,0,1,0
"BE",2018,"Senior","Technicians",60785.6666666667,62779,3.17515942167498,"BE_Senior_Technicians",0,1,0,0,0,1,0
"BE",2018,"Young","Clerical",33138,33041.3333333333,-0.292562850570995,"BE_Young_Clerical",1,0,0,0,0,1,0
"BE",2018,"Young","Craft",28301,28539.3333333333,0.835104767689033,"BE_Young_Craft",1,0,0,0,0,1,0
"BE",2018,"Young","Elementary",27262.6666666667,29529,7.67494101843385,"BE_Young_Elementary",1,0,0,0,0,1,0
"BE",2018,"Young","Operators",28021.6666666667,28301.3333333333,0.988174879864309,"BE_Young_Operators",1,0,0,0,0,1,0
"BE",2018,"Young","Professionals",46498.3333333333,49223.3333333333,5.53599241552109,"BE_Young_Professionals",1,0,1,0,0,1,0
"BE",2018,"Young","Service",24905.3333333333,25722.6666666667,3.17748289446404,"BE_Young_Service",1,0,0,0,0,1,0
"BE",2022,"Mid Career","Clerical",43157.6666666667,43587.3333333333,0.985760389103879,"BE_Mid Career_Clerical",0,0,0,0,0,0,1
"BE",2022,"Mid Career","Craft",35833.3333333333,39613.3333333333,9.54224166947156,"BE_Mid Career_Craft",0,0,0,0,0,0,1
"BE",2022,"Mid Career","Elementary",32895.6666666667,32640,-0.783292483660123,"BE_Mid Career_Elementary",0,0,0,0,0,0,1
"BE",2022,"Mid Career","Managers",95617.6666666667,96687,1.10597426058656,"BE_Mid Career_Managers",0,0,1,1,0,0,1
"BE",2022,"Mid Career","Operators",40050,39822.6666666667,-0.570864164462456,"BE_Mid Career_Operators",0,0,0,0,0,0,1
"BE",2022,"Mid Career","Professionals",63300.6666666667,70120.6666666667,9.72609121419269,"BE_Mid Career_Professionals",0,0,1,0,0,0,1
"BE",2022,"Mid Career","Service",34756,37658.3333333333,7.70701482628901,"BE_Mid Career_Service",0,0,0,0,0,0,1
"BE",2022,"Mid Career","Technicians",51605,52873.3333333333,2.39881477745556,"BE_Mid Career_Technicians",0,0,0,0,0,0,1
"BE",2022,"Senior","Clerical",54953,58640.3333333333,6.28804974960352,"BE_Senior_Clerical",0,1,0,0,0,0,1
"BE",2022,"Senior","Craft",45416.6666666667,53437.6666666667,15.010011664681,"BE_Senior_Craft",0,1,0,0,0,0,1
"BE",2022,"Senior","Elementary",43382.6666666667,45777.6666666667,5.23180881506994,"BE_Senior_Elementary",0,1,0,0,0,0,1
"BE",2022,"Senior","Managers",112550.666666667,113361.666666667,0.71540938294838,"BE_Senior_Managers",0,1,1,1,0,0,1
"BE",2022,"Senior","Operators",52719,51875,-1.62698795180723,"BE_Senior_Operators",0,1,0,0,0,0,1
"BE",2022,"Senior","Professionals",77590.6666666667,90686,14.4403031706474,"BE_Senior_Professionals",0,1,1,0,0,0,1
"BE",2022,"Senior","Service",48327.6666666667,52905.3333333333,8.65256180851333,"BE_Senior_Service",0,1,0,0,0,0,1
"BE",2022,"Senior","Technicians",71045.6666666667,75763,6.22643418731218,"BE_Senior_Technicians",0,1,0,0,0,0,1
"BE",2022,"Young","Craft",25811.3333333333,28342.3333333333,8.9301045550237,"BE_Young_Craft",1,0,0,0,0,0,1
"BE",2022,"Young","Elementary",24632.6666666667,24830.3333333333,0.79606932381092,"BE_Young_Elementary",1,0,0,0,0,0,1
"BE",2022,"Young","Operators",27126.6666666667,27391,0.965037177661758,"BE_Young_Operators",1,0,0,0,0,0,1
"BE",2022,"Young","Professionals",48976,52073,5.94741996812168,"BE_Young_Professionals",1,0,1,0,0,0,1
"BE",2022,"Young","Service",25074.3333333333,26769,6.33070591604717,"BE_Young_Service",1,0,0,0,0,0,1
"BE",2022,"Young","Technicians",38281.3333333333,38521.3333333333,0.623031393859679,"BE_Young_Technicians",1,0,0,0,0,0,1
"BG",2010,"Young","Clerical",6286.75,6587.75,4.5690865621798,"BG_Young_Clerical",1,0,0,0,0,0,0
"BG",2010,"Young","Craft",4216.75,5786.5,27.1277974596043,"BG_Young_Craft",1,0,0,0,0,0,0
"BG",2010,"Young","Elementary",3836.5,4028.75,4.77195159789016,"BG_Young_Elementary",1,0,0,0,0,0,0
"BG",2010,"Young","Managers",14011,14641.5,4.30625277464741,"BG_Young_Managers",1,0,1,1,0,0,0
"BG",2010,"Young","Operators",4323,5664,23.6758474576271,"BG_Young_Operators",1,0,0,0,0,0,0
"BG",2010,"Young","Professionals",10099.75,13645,25.9820447050202,"BG_Young_Professionals",1,0,1,0,0,0,0
"BG",2010,"Young","Service",4323,4623.5,6.49940521250135,"BG_Young_Service",1,0,0,0,0,0,0
"BG",2010,"Young","Technicians",9306.5,9581,2.86504540235884,"BG_Young_Technicians",1,0,0,0,0,0,0
"BG",2014,"Young","Clerical",7558.33333333333,8297.33333333333,8.90647597621727,"BG_Young_Clerical",1,0,0,0,1,0,0
"BG",2014,"Young","Craft",5487.83333333333,7664.16666666667,28.3962161574426,"BG_Young_Craft",1,0,0,0,1,0,0
"BG",2014,"Young","Elementary",4837.33333333333,5234.83333333333,7.59336495908816,"BG_Young_Elementary",1,0,0,0,1,0,0
"BG",2014,"Young","Managers",16443.6666666667,19622.5,16.199940544443,"BG_Young_Managers",1,0,1,1,1,0,0
"BG",2014,"Young","Operators",5965.5,7279,18.0450611347713,"BG_Young_Operators",1,0,0,0,1,0,0
"BG",2014,"Young","Professionals",12772.3333333333,18845.1666666667,32.2248852490913,"BG_Young_Professionals",1,0,1,0,1,0,0
"BG",2014,"Young","Service",5841.5,5986.83333333333,2.42754934439464,"BG_Young_Service",1,0,0,0,1,0,0
"BG",2014,"Young","Technicians",11125.6666666667,12107,8.10550370309188,"BG_Young_Technicians",1,0,0,0,1,0,0
"BG",2018,"Mid Career","Agriculture",7164.5,7586.16666666667,5.55836280949975,"BG_Mid Career_Agriculture",0,0,0,0,0,1,0
"BG",2018,"Mid Career","Clerical",9957.66666666667,11846.8333333333,15.9465961368017,"BG_Mid Career_Clerical",0,0,0,0,0,1,0
"BG",2018,"Mid Career","Craft",8315,11429.8333333333,27.2517826156695,"BG_Mid Career_Craft",0,0,0,0,0,1,0
"BG",2018,"Mid Career","Elementary",7096,7597.5,6.60085554458704,"BG_Mid Career_Elementary",0,0,0,0,0,1,0
